略称	正式名称
海防法	海洋汚染等及び海上災害の防止に関する法律
ごみ処理法	廃棄物の処理及び清掃に関する法律
廃掃法	廃棄物の処理及び清掃に関する法律
廃棄物処理法	廃棄物の処理及び清掃に関する法律
水濁法	水質汚濁防止法
土壌汚染防止法	農用地の土壌の汚染防止等に関する法律
農用地土壌汚染防止法	農用地の土壌の汚染防止等に関する法律
公害罪法	人の健康に係る公害犯罪の処罰に関する法律
下請振興法	受託中小企業振興法
自転車道法	自転車道の整備等に関する法律
柔整法	柔道整復師法
ビル管理法	建築物における衛生的環境の確保に関する法律
建築物衛生法	建築物における衛生的環境の確保に関する法律
全幹法	全国新幹線鉄道整備法
新幹線整備法	全国新幹線鉄道整備法
電気工事業法	電気工事業の業務の適正化に関する法律
農住利子補給法	農地所有者等賃貸住宅建設融資利子補給臨時措置法
預保法	預金保険法
民訴費用法	民事訴訟費用等に関する法律
高年齢者雇用安定法	高年齢者等の雇用の安定等に関する法律
公害財特法	公害の防止に関する事業に係る国の財政上の特別措置に関する法律
教員給与特別措置法	公立の義務教育諸学校等の教育職員の給与等に関する特別措置法
給特法	公立の義務教育諸学校等の教育職員の給与等に関する特別措置法
財形法	勤労者財産形成促進法
公害防止組織整備法	特定工場における公害防止組織の整備に関する法律
農村産業法	農村地域への産業の導入の促進等に関する法律
農工法	農村地域への産業の導入の促進等に関する法律
労安衛法	労働安全衛生法
安衛法	労働安全衛生法
公有地拡大推進法	公有地の拡大の推進に関する法律
公拡法	公有地の拡大の推進に関する法律
パイプライン事業法	石油パイプライン事業法
男女雇用機会均等法	雇用の分野における男女の均等な機会及び待遇の確保等に関する法律
火炎びん処罰法	火炎びんの使用等の処罰に関する法律
消安法	消費生活用製品安全法
買占め防止法	生活関連物資等の買占め及び売惜しみに対する緊急措置に関する法律
買占め及び売り惜しみ防止法	生活関連物資等の買占め及び売惜しみに対する緊急措置に関する法律
小振法	中小小売商業振興法
公健法	公害健康被害の補償等に関する法律
家庭用品規制法	有害物質を含有する家庭用品の規制に関する法律
化審法	化学物質の審査及び製造等の規制に関する法律
水特法	水源地域対策特別措置法
生活安定法	国民生活安定緊急措置法
災害弔慰金法	災害弔慰金の支給等に関する法律
災害弔慰金支給法	災害弔慰金の支給等に関する法律
活火山法	活動火山対策特別措置法
動管法	動物の愛護及び管理に関する法律
動物愛護法	動物の愛護及び管理に関する法律
学校教育人材確保法	学校教育の水準の維持向上のための義務教育諸学校の教育職員の人材確保に関する特別措置法
電促税法	電源開発促進税法
航空危険行為処罰法	航空の危険を生じさせる行為等の処罰に関する法律
航空危険処罰法	航空の危険を生じさせる行為等の処罰に関する法律
環境整備法	防衛施設周辺の生活環境の整備等に関する法律
伝産法	伝統的工芸品産業の振興に関する法律
国土法	国土利用計画法
作環法	作業環境測定法
宅地供給促進法	大都市地域における住宅及び住宅地の供給の促進に関する特別措置法
大都市法	大都市地域における住宅及び住宅地の供給の促進に関する特別措置法
石災法	石油コンビナート等災害防止法
船主責任制限法	船舶の所有者等の責任の制限に関する法律
油賠法	船舶油濁等損害賠償保障法
油濁法	船舶油濁等損害賠償保障法
石油備蓄法	石油の備蓄の確保等に関する法律
合特法	下水道の整備等に伴う一般廃棄物処理業等の合理化に関する特別措置法
私学助成法	私立学校振興助成法
建設労働者雇用改善法	建設労働者の雇用の改善等に関する法律
賃確法	賃金の支払の確保等に関する法律
賃金支払確保法	賃金の支払の確保等に関する法律
漁特法	漁業経営の改善及び再建整備に関する特別措置法
訪問販売、通信販売、マルチ販売等法	特定商取引に関する法律
訪販、通販、マルチ等法	特定商取引に関する法律
特定商取引法	特定商取引に関する法律
品確法	揮発油等の品質の確保等に関する法律
領海法	領海及び接続水域に関する法律
沖縄位置境界明確化法	沖縄県の区域内における位置境界不明地域内の各筆の土地の位置境界の明確化等に関する特別措置法
ＮＡＣＣＳ特例法	電子情報処理組織による輸出入等関連業務の処理等に関する法律
国旗差別対抗法	外国等による本邦外航船舶運航事業者に対する不利益な取扱いに対する特別措置に関する法律
分野調整法	中小企業の事業活動の機会の確保のための大企業者の事業活動の調整に関する法律
水産加工施設資金法	水産加工業施設改良資金融通臨時措置法
水産加工資金法	水産加工業施設改良資金融通臨時措置法
漁業離職者臨時措置法	国際協定の締結等に伴う漁業離職者に関する臨時措置法
漁臨法	国際協定の締結等に伴う漁業離職者に関する臨時措置法
騒特法	特定空港周辺航空機騒音対策特別措置法
空港周辺立地規制法	特定空港周辺航空機騒音対策特別措置法
国際出願法	特許協力条約に基づく国際出願等に関する法律
人質強要行為処罰法	人質による強要行為等の処罰に関する法律
人質強要処罰法	人質による強要行為等の処罰に関する法律
大震法	大規模地震対策特別措置法
地震対策法	大規模地震対策特別措置法
仮登記担保法	仮登記担保契約に関する法律
日韓大陸棚法	日本国と大韓民国との間の両国に隣接する大陸棚の南部の共同開発に関する協定の実施に伴う石油及び可燃性天然ガス資源の開発に関する特別措置法
日韓大陸棚協定の実施に伴う石油及び可燃性天然ガス資源の開発に関する特別措置法	日本国と大韓民国との間の両国に隣接する大陸棚の南部の共同開発に関する協定の実施に伴う石油及び可燃性天然ガス資源の開発に関する特別措置法
成田法	成田国際空港の安全確保に関する緊急措置法
成田新法	成田国際空港の安全確保に関する緊急措置法
ネズミ講防止法	無限連鎖講の防止に関する法律
民執法	民事執行法
特監法	特定ガス消費機器の設置工事の監督に関する法律
省エネ法	エネルギーの使用の合理化及び非化石エネルギーへの転換等に関する法律
沿道法	幹線道路の沿道の整備に関する法律
沿道整備法	幹線道路の沿道の整備に関する法律
犯給法	犯罪被害者等給付金の支給等による犯罪被害者等の支援に関する法律
トン数法	船舶のトン数の測度に関する法律
明日香法	明日香村における歴史的風土の保存及び生活環境の整備等に関する特別措置法
明日香村特別措置法	明日香村における歴史的風土の保存及び生活環境の整備等に関する特別措置法
明日香保存法	明日香村における歴史的風土の保存及び生活環境の整備等に関する特別措置法
国際捜査共助法	国際捜査共助等に関する法律
代エネ法	非化石エネルギーの開発及び導入の促進に関する法律
非化石エネルギー法	非化石エネルギーの開発及び導入の促進に関する法律
地震財特法	地震防災対策強化地域における地震対策緊急整備事業に係る国の財政上の特別措置に関する法律
自転車法	自転車の安全利用の促進及び自転車等の駐車対策の総合的推進に関する法律
財源確保法	財政運営に必要な財源の確保を図るための特別措置に関する法律
本四特措法	本州四国連絡橋の建設に伴う一般旅客定期航路事業等に関する特別措置法
フェニックス法	広域臨海環境整備センター法
フェニックス計画法	広域臨海環境整備センター法
行革法	行政改革を推進するため当面講ずべき措置の一環としての国の補助金等の縮減その他の臨時の特例措置に関する法律
生物・毒素兵器禁止条約の実施法	細菌兵器（生物兵器）及び毒素兵器の開発、生産及び貯蔵の禁止並びに廃棄に関する条約等の実施に関する法律
生物兵器禁止条約実施法	細菌兵器（生物兵器）及び毒素兵器の開発、生産及び貯蔵の禁止並びに廃棄に関する条約等の実施に関する法律
生物兵器禁止法	細菌兵器（生物兵器）及び毒素兵器の開発、生産及び貯蔵の禁止並びに廃棄に関する条約等の実施に関する法律
高齢者医療確保法	高齢者の医療の確保に関する法律
北方領土法	北方領土問題等の解決の促進のための特別措置に関する法律
北特法	北方領土問題等の解決の促進のための特別措置に関する法律
外国人教員法	公立の大学における外国人教員の任用等に関する特別措置法
外国人任用法	公立の大学における外国人教員の任用等に関する特別措置法
ノンバンク規制法	貸金業法
献体法	医学及び歯学の教育のための献体に関する法律
湖沼法	湖沼水質保全特別措置法
ＪＴ法	日本たばこ産業株式会社法
ＮＴＴ法	日本電信電話株式会社等に関する法律
電通事法	電気通信事業法
登記事務処理円滑化法	電子情報処理組織による登記事務処理の円滑化のための措置等に関する法律
回路配置法	半導体集積回路の回路配置に関する法律
半導体チップ法	半導体集積回路の回路配置に関する法律
半導体集積回路法	半導体集積回路の回路配置に関する法律
人材派遣法	労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律
労働者派遣法	労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律
湾横特措法	東京湾横断道路の建設に関する特別措置法
預託法	預託等取引に関する法律
特定商品預託法	預託等取引に関する法律
特定商品等預託法	預託等取引に関する法律
預託等取引契約法	預託等取引に関する法律
プログラム特例法	プログラムの著作物に係る登録の特例に関する法律
プログラム登録特例法	プログラムの著作物に係る登録の特例に関する法律
外国弁護士法	外国弁護士による法律事務の取扱い等に関する法律
外弁法	外国弁護士による法律事務の取扱い等に関する法律
扶養義務準拠法	扶養義務の準拠法に関する法律
国鉄改革法	日本国有鉄道改革法
ＪＲ会社法	旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律
国鉄改革法等施行法	日本国有鉄道改革法等施行法
ＭＩＧＡ法	多数国間投資保証機関への加盟に伴う措置に関する法律
通貨法	通貨の単位及び貨幣の発行等に関する法律
貨幣法	通貨の単位及び貨幣の発行等に関する法律
民都法	民間都市開発の推進に関する特別措置法
リゾート法	総合保養地域整備法
地方公務員派遣法	外国の地方公共団体の機関等に派遣される一般職の地方公務員の処遇等に関する法律
社会資本整備特別措置法	日本電信電話株式会社の株式の売払収入の活用による社会資本の整備の促進に関する特別措置法
ＪＤＲ法	国際緊急援助隊の派遣に関する法律
国際緊急援助隊法	国際緊急援助隊の派遣に関する法律
関西学研法	関西文化学術研究都市建設促進法
優良法	大都市地域における優良宅地開発の促進に関する緊急措置法
オゾン層保護法	特定物質等の規制等によるオゾン層の保護に関する法律
四全総法	多極分散型国土形成促進法
行政機関休日法	行政機関の休日に関する法律
裁判所休日法	裁判所の休日に関する法律
静穏保持法	国会議事堂等周辺地域及び外国公館等周辺地域の静穏の保持に関する法律
遊漁船業法	遊漁船業の適正化に関する法律
国会休日法	国会に置かれる機関の休日に関する法律
特定農地貸付法	特定農地貸付けに関する農地法等の特例に関する法律
宅鉄法	大都市地域における宅地開発及び鉄道整備の一体的推進に関する特別措置法
医療介護総合確保法	地域における医療及び介護の総合的な確保の促進に関する法律
特定農産加工法	特定農産加工業経営改善等臨時措置法
民保法	民事保全法
通信・放送開発法	特定通信・放送開発事業実施円滑化法
スパイクタイヤ粉じん発生防止法	スパイクタイヤ粉じんの発生の防止に関する法律
食鳥処理法	食鳥処理の事業の規制及び食鳥検査に関する法律
食鳥検査法	食鳥処理の事業の規制及び食鳥検査に関する法律
生涯学習振興法	生涯学習の振興のための施策の推進体制等の整備に関する法律
国会議員秘書給与法	国会議員の秘書の給与等に関する法律
資源有効利用促進法	資源の有効な利用の促進に関する法律
リサイクル法	資源の有効な利用の促進に関する法律
